,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$h_{e2}$ [m],$\rho_{2}$ [kg/m$^3$],$\sigma_{2}$ [kg/J],$\log_{10}$($\eta_{2}$ [kg/J]),$P_{compress}$ [Pa],$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,-0.4248,-0.0988,-0.5973,-0.4228,-0.0582,-0.5444,-0.6385,-0.0258,-0.3318,-0.0536,-0.0449,-0.4136,-0.2643,0.5602,-0.1899,-0.5725,-0.0268,-0.1904,0.0920
$m_0$ [kg],-0.4248,1.0000,-0.4422,0.7859,0.8565,-0.5126,0.4818,0.8270,0.3492,0.1834,-0.1776,-0.1324,0.5262,0.1773,-0.6168,-0.1634,0.4439,-0.1346,-0.0527,-0.1437
$\rho$ [kg/m$^3$],-0.0988,-0.4422,1.0000,-0.1443,-0.1686,0.9587,-0.0693,-0.1759,-0.1546,0.1511,0.3850,0.3391,-0.1236,-0.2651,0.2253,0.0642,-0.0705,-0.1470,0.2209,0.0401
$\sigma$ [kg/J],-0.5973,0.7859,-0.1443,1.0000,0.5955,-0.2562,0.3328,0.8745,0.4977,0.2987,-0.2716,0.0536,0.4663,-0.0248,-0.4047,-0.1211,0.5156,-0.2145,0.0885,-0.1263
$h_e$ [m],-0.4228,0.8565,-0.1686,0.5955,1.0000,-0.2965,0.5799,0.7488,0.2382,0.2270,0.0206,-0.0763,0.5267,0.1691,-0.5862,-0.2954,0.3816,-0.1146,-0.0237,-0.1347
$\log_{10}$($\eta$ [kg/J]),-0.0582,-0.5126,0.9587,-0.2562,-0.2965,1.0000,-0.1012,-0.2837,-0.1835,0.0983,0.4163,0.2978,-0.2055,-0.2552,0.2401,0.1707,-0.1017,-0.1152,0.1909,0.0647
$s$,-0.5444,0.4818,-0.0693,0.3328,0.5799,-0.1012,1.0000,0.6452,-0.1066,0.2819,0.3183,0.1138,0.2483,0.2865,-0.5614,0.1299,0.5203,-0.3961,0.0380,-0.0982
$\log_{10}$($m_{l}$ [kg]),-0.6385,0.8270,-0.1759,0.8745,0.7488,-0.2837,0.6452,1.0000,0.2996,0.4382,-0.1020,0.0487,0.5319,0.1511,-0.5096,-0.1493,0.5421,-0.2333,0.0807,-0.1474
$\log_{10}$($m_{u}$ [kg]),-0.0258,0.3492,-0.1546,0.4977,0.2382,-0.1835,-0.1066,0.2996,1.0000,0.0713,-0.1760,0.0400,0.1580,-0.2271,0.1032,-0.3527,0.0590,-0.0883,-0.0325,-0.0293
$h_{e2}$ [m],-0.3318,0.1834,0.1511,0.2987,0.2270,0.0983,0.2819,0.4382,0.0713,1.0000,-0.1847,-0.1134,0.1123,-0.1101,-0.1320,-0.0902,0.3062,-0.1778,0.0173,-0.0605
$\rho_{2}$ [kg/m$^3$],-0.0536,-0.1776,0.3850,-0.2716,0.0206,0.4163,0.3183,-0.1020,-0.1760,-0.1847,1.0000,0.5134,0.0752,0.2861,0.0614,-0.1356,-0.3192,-0.2159,-0.0138,0.0028
$\sigma_{2}$ [kg/J],-0.0449,-0.1324,0.3391,0.0536,-0.0763,0.2978,0.1138,0.0487,0.0400,-0.1134,0.5134,1.0000,0.1153,0.2527,0.1175,0.0069,-0.2193,-0.0858,-0.0479,-0.0076
$\log_{10}$($\eta_{2}$ [kg/J]),-0.4136,0.5262,-0.1236,0.4663,0.5267,-0.2055,0.2483,0.5319,0.1580,0.1123,0.0752,0.1153,1.0000,0.2411,-0.1379,-0.2555,0.2296,0.1998,-0.0037,-0.1160
$P_{compress}$ [Pa],-0.2643,0.1773,-0.2651,-0.0248,0.1691,-0.2552,0.2865,0.1511,-0.2271,-0.1101,0.2861,0.2527,0.2411,1.0000,-0.3507,0.0182,-0.1887,0.3552,-0.0402,-0.0468
